total,lang,date
36,C,2015-01
1,CPP,2015-01
70,CPP,2015-02
54,CPP,2015-03
38,CPP,2015-04
0,CPP,2015-05
3,CoffeeScript,2015-06
431,CSS,2012-08
0,CSS,2012-09
4,CSS,2012-12
0,CSS,2013-01
7,CSS,2014-05
0,CSS,2014-06
0,CSS,2015-05
24,CSS,2015-06
2,HTML,2012-08
2,HTML,2012-09
2,HTML,2012-12
27,HTML,2014-03
0,HTML,2014-04
0,HTML,2014-05
95,HTML,2015-02
4,HTML,2015-05
66,HTML,2015-06
0,Java,2013-09
2,Java,2013-10
7,Java,2013-11
24,Java,2013-12
0,Java,2014-01
0,Java,2014-07
62,Java,2014-08
53,Java,2014-09
9,Java,2014-10
2,Java,2014-11
0,Java,2014-12
1,JavaScript,2012-08
12,JavaScript,2012-09
8,JavaScript,2012-12
8,JavaScript,2013-01
19,JavaScript,2014-03
3,JavaScript,2014-04
11,JavaScript,2014-05
2,PHP,2014-05
42,PHP,2014-11
6,PHP,2014-12
8,PHP,2015-05
6,Python,2014-11
100,Python,2015-02
2,Python,2015-04
23,Python,2015-05
0,Ruby,2014-04
0,Ruby,2015-01
1,Ruby,2015-02
20,Ruby,2015-04
8,Ruby,2015-06
